Gene	Parameter1	Parameter2
ARAP1	40.0578779368265	254094
ARAP2	100.985935518039	254172
ARAP3	70.477671887748	254318
ARC	5.73799040081043	254002
ARCN1	1.72801465505157	254842
AREG	0.356841583396897	254672
AREL1	47.9066818860826	254018
ARF1	4.32100478488368	253794
ARF3	3.49436519178261	254648
ARF4	0.526716313253713	254280
ARF5	4.42574838161607	254126
ARF6	1.18871600830602	246810
ARFGAP1	41.4027026412107	254020
ARFGAP2	16.6980191387935	254594
ARFGAP3	61.3855437893934	254036
ARFGEF1	28.7535595011142	254532
ARFGEF2	28.6981552673643	254594
ARFIP1	19.7525550058897	254046
ARFIP2	10.8607902335272	254040
ARFRP1	10.7181633798847	254524
ARG1	57.7460873918962	254218
ARG2	71.0057930963308	254340
ARGFX	28.6385907862704	254480
ARGLU1	4.40556107602786	254418
